N,E
50,0.339063
50,0.349273
50,0.359198
48,0.306496
51,0.332145
50,0.328387
50,0.324283
50,0.359465
50,0.357108
50,0.386169
50,0.374190
50,0.369206
50,0.381724
50,0.406485
50,0.414293
49,0.394259
50,0.396147
50,0.408493
50,0.433244
50,0.462757
50,0.447364
50,0.455425
50,0.477038
50,0.492624
50,0.504498
50,0.496303
50,0.534015
50,0.521014
50,0.511106
50,0.502263
50,0.499283
50,0.505463
50,0.520271
50,0.534142
50,0.529993
50,0.559221
50,0.527457
50,0.535084
50,0.512029
50,0.511099
50,0.499657
50,0.523528
49,0.503644
50,0.480857
50,0.475203
52,0.469855
49,0.416856
50,0.492389
50,0.479840
49,0.431876
49,0.433826
50,0.447907
50,0.461170
50,0.451452
50,0.447828
50,0.438336
50,0.449898
50,0.457742
50,0.488847
50,0.513571
50,0.539701
51,0.553177
50,0.559177
50,0.560053
49,0.504413
49,0.517002
51,0.526658
48,0.512484
51,0.555364
49,0.506154
49,0.521653
53,0.523390
51,0.478055
50,0.477623
50,0.478522
50,0.485719
50,0.499097
50,0.503161
50,0.520949
50,0.516664
50,0.511158
50,0.515455
49,0.502979
50,0.526580
50,0.503634
50,0.533219
50,0.553269
50,0.546546
49,0.474002
49,0.499332
51,0.500855
49,0.462355
49,0.458813
49,0.434637
50,0.472503
50,0.482624
50,0.495570
50,0.508704
50,0.507883
50,0.524144
50,0.511405
50,0.515920
50,0.534193
50,0.544313
51,0.542979
51,0.536524
50,0.549030
50,0.516738
50,0.496159
50,0.484488
50,0.489839
50,0.508681
50,0.496553
