N,E
59,0.428158
59,0.437279
60,0.433674
59,0.419457
59,0.426316
59,0.411668
59,0.419007
59,0.408283
59,0.440787
59,0.436241
59,0.445258
59,0.450142
59,0.452388
59,0.457619
58,0.440684
58,0.461383
58,0.458261
58,0.446492
58,0.456153
58,0.473840
58,0.478828
58,0.506680
58,0.513835
58,0.454505
58,0.481352
58,0.511190
58,0.519293
58,0.514457
59,0.518439
59,0.529565
59,0.540149
58,0.468521
59,0.484881
60,0.500232
60,0.498839
60,0.535541
61,0.541702
61,0.548493
61,0.566940
61,0.573350
62,0.569883
62,0.586251
61,0.565480
61,0.585583
61,0.568970
61,0.585862
61,0.602684
61,0.600514
61,0.609598
61,0.568536
61,0.577733
63,0.561940
63,0.544989
63,0.532599
63,0.529885
63,0.523967
64,0.501033
64,0.503817
64,0.527921
64,0.542937
64,0.542391
66,0.527869
66,0.528537
66,0.517148
66,0.516489
66,0.523037
66,0.539476
66,0.554361
66,0.563851
66,0.587186
66,0.588771
66,0.587000
66,0.612906
66,0.624721
67,0.630880
67,0.599007
67,0.614973
67,0.611580
67,0.606622
68,0.626903
68,0.634527
68,0.656045
69,0.648689
69,0.661022
70,0.652324
70,0.588581
70,0.618407
72,0.604470
72,0.613788
72,0.615478
71,0.566828
71,0.607873
71,0.635979
71,0.647592
71,0.646669
71,0.652067
71,0.646250
72,0.627746
72,0.635330
71,0.586710
71,0.593414
72,0.600156
72,0.602803
72,0.613592
71,0.567936
71,0.601423
71,0.608718
